ban,product_id,om_product_id,om_order_id,hold_indicator,order_status
469596136,3182492758      ,929178858,1631958752,N,DE
474978093,9038867807      ,926376491,1626601592,Y,DE
307962389,3365625548      ,896515008,1625222612,Y,DE
474978093,eq001710359     ,926376414,1626601592,Y,DE
307962389,3365625560      ,896515030,1625223382,Y,DE
307962389,3365622042      ,922793287,1625252932,Y,DE
